AGEP,SCHL,MAR,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ST,PINCP,ESR,FER,HINS2
19.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2500.0,1.0,2.0,False
30.0,19.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,30000.0,6.0,0.0,False
45.0,19.0,4.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,12000.0,1.0,0.0,False
21.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,8.0,4.0,98000.0,1.0,0.0,False
20.0,16.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,5000.0,1.0,2.0,False
22.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,8000.0,6.0,0.0,False
57.0,17.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,33000.0,1.0,0.0,False
43.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,10000.0,6.0,0.0,False
29.0,20.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,10400.0,1.0,0.0,False
19.0,18.0,5.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,6000.0,6.0,0.0,True
19.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,3000.0,6.0,2.0,False
19.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,4.0,8000.0,1.0,2.0,True
24.0,20.0,5.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,25700.0,4.0,0.0,False
65.0,21.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,20600.0,6.0,0.0,False
48.0,17.0,3.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,5500.0,6.0,2.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,5000.0,1.0,2.0,False
29.0,16.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,21000.0,6.0,0.0,False
57.0,18.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,700.0,6.0,0.0,False
55.0,13.0,5.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,8000.0,3.0,0.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,700.0,6.0,2.0,True
18.0,16.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1000.0,3.0,0.0,False
36.0,13.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,5000.0,6.0,0.0,False
19.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,17600.0,4.0,0.0,True
43.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,10000.0,6.0,0.0,False
20.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2300.0,6.0,0.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2000.0,1.0,2.0,True
41.0,17.0,4.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,9.0,4.0,31000.0,1.0,0.0,False
36.0,14.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,21800.0,1.0,0.0,False
24.0,21.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,24600.0,4.0,0.0,False
18.0,18.0,5.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,6000.0,6.0,2.0,True
20.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,4.0,20000.0,4.0,0.0,False
22.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,25000.0,4.0,0.0,False
21.0,16.0,5.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,570.0,1.0,0.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2000.0,1.0,2.0,False
18.0,16.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,410.0,6.0,2.0,True
27.0,20.0,5.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,21000.0,4.0,0.0,False
20.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1400.0,1.0,0.0,False
19.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2500.0,1.0,0.0,True
19.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,3000.0,6.0,2.0,True
25.0,9.0,5.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,8400.0,6.0,0.0,False
