AGEP,SCHL,MAR,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ST,PINCP,ESR,FER,HINS2
36.0,19.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,50000.0,6.0,0.0,False
21.0,18.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,600.0,3.0,2.0,False
20.0,18.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,3000.0,1.0,0.0,False
21.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5500.0,1.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,13500.0,4.0,0.0,False
32.0,17.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,49.0,12000.0,6.0,0.0,False
20.0,18.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,1500.0,1.0,0.0,False
23.0,20.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,9000.0,1.0,0.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,15400.0,4.0,0.0,False
51.0,9.0,5.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,28200.0,1.0,0.0,False
21.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,40000.0,2.0,0.0,False
23.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,9.0,49.0,3500.0,1.0,0.0,False
26.0,19.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,20000.0,1.0,2.0,False
20.0,18.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,49.0,21000.0,1.0,2.0,False
28.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,16000.0,6.0,0.0,False
22.0,19.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,49.0,18000.0,3.0,0.0,False
25.0,21.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,10000.0,1.0,2.0,True
20.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,2000.0,6.0,2.0,False
23.0,20.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,8000.0,1.0,0.0,False
21.0,11.0,5.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,49.0,40000.0,6.0,0.0,False
