AGEP,SCHL,MAR,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ST,PINCP,ESR,FER,HINS2
20.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,56.0,19000.0,4.0,0.0,False
31.0,22.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,56.0,18000.0,1.0,0.0,False
62.0,21.0,3.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,14300.0,6.0,0.0,False
19.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,56.0,8000.0,6.0,0.0,False
33.0,16.0,4.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,56.0,6400.0,6.0,0.0,False
31.0,17.0,5.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,56.0,10000.0,6.0,2.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,56.0,190.0,6.0,2.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,56.0,2000.0,6.0,2.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,56.0,6000.0,1.0,0.0,False
19.0,16.0,5.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,56.0,4200.0,1.0,0.0,False
60.0,20.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,56.0,15600.0,6.0,0.0,False
