AGEP,SCHL,MAR,SEX,RAC1P,OCCP,COW,POBP,RELP,WKHP,PINCP
19.0,16.0,5.0,2.0,1.0,4150.0,1.0,4.0,17.0,20.0,False
30.0,19.0,1.0,1.0,1.0,7840.0,4.0,4.0,16.0,40.0,False
45.0,19.0,4.0,1.0,1.0,6355.0,6.0,303.0,17.0,40.0,False
21.0,16.0,5.0,1.0,8.0,8140.0,4.0,6.0,17.0,40.0,True
20.0,16.0,5.0,2.0,1.0,2016.0,4.0,4.0,17.0,10.0,False
22.0,19.0,5.0,1.0,2.0,3930.0,1.0,12.0,16.0,40.0,False
57.0,17.0,5.0,1.0,1.0,4251.0,1.0,4.0,17.0,40.0,False
43.0,16.0,5.0,1.0,1.0,9620.0,1.0,4.0,16.0,40.0,False
29.0,20.0,5.0,1.0,1.0,4220.0,1.0,4.0,17.0,31.0,False
19.0,18.0,5.0,1.0,1.0,4140.0,1.0,501.0,17.0,22.0,False
19.0,19.0,5.0,2.0,1.0,4435.0,1.0,8.0,17.0,20.0,False
19.0,16.0,5.0,2.0,6.0,4150.0,3.0,6.0,17.0,8.0,False
24.0,20.0,5.0,1.0,1.0,9830.0,5.0,12.0,17.0,80.0,False
65.0,21.0,3.0,2.0,1.0,2600.0,6.0,6.0,16.0,4.0,False
48.0,17.0,3.0,2.0,1.0,9130.0,1.0,4.0,16.0,40.0,False
18.0,16.0,5.0,2.0,1.0,5740.0,1.0,17.0,17.0,5.0,False
29.0,16.0,5.0,1.0,1.0,9620.0,1.0,4.0,17.0,40.0,False
57.0,18.0,3.0,1.0,1.0,4220.0,5.0,53.0,16.0,40.0,False
55.0,13.0,5.0,1.0,1.0,9620.0,1.0,6.0,17.0,40.0,False
18.0,18.0,5.0,2.0,1.0,4150.0,3.0,12.0,17.0,20.0,False
18.0,16.0,5.0,1.0,1.0,4720.0,1.0,17.0,17.0,20.0,False
36.0,13.0,5.0,1.0,3.0,6355.0,1.0,35.0,16.0,40.0,False
19.0,16.0,5.0,1.0,1.0,9830.0,5.0,26.0,17.0,55.0,False
43.0,16.0,5.0,1.0,1.0,9620.0,1.0,4.0,16.0,40.0,False
20.0,16.0,5.0,1.0,1.0,5240.0,1.0,4.0,17.0,35.0,False
18.0,16.0,5.0,2.0,1.0,4420.0,1.0,6.0,17.0,20.0,False
41.0,17.0,4.0,1.0,9.0,6260.0,1.0,26.0,17.0,43.0,False
36.0,14.0,5.0,1.0,2.0,6355.0,1.0,11.0,17.0,40.0,False
24.0,21.0,5.0,1.0,1.0,9830.0,5.0,25.0,17.0,65.0,False
18.0,18.0,5.0,2.0,2.0,4760.0,1.0,4.0,17.0,20.0,False
20.0,19.0,5.0,1.0,6.0,7100.0,5.0,6.0,17.0,40.0,False
22.0,19.0,5.0,1.0,2.0,9830.0,5.0,24.0,17.0,55.0,False
21.0,16.0,5.0,1.0,1.0,2350.0,1.0,164.0,17.0,2.0,False
19.0,19.0,5.0,2.0,3.0,5860.0,1.0,4.0,17.0,20.0,False
18.0,16.0,5.0,2.0,1.0,4350.0,1.0,4.0,17.0,2.0,False
27.0,20.0,5.0,1.0,2.0,7140.0,5.0,12.0,17.0,40.0,False
20.0,16.0,5.0,1.0,1.0,4110.0,1.0,6.0,17.0,12.0,False
19.0,19.0,5.0,1.0,1.0,4020.0,1.0,6.0,17.0,35.0,False
19.0,16.0,5.0,2.0,1.0,5400.0,1.0,12.0,17.0,24.0,False
25.0,9.0,5.0,1.0,1.0,4020.0,1.0,303.0,16.0,84.0,False
63.0,16.0,1.0,1.0,1.0,9620.0,1.0,303.0,17.0,30.0,False
40.0,15.0,5.0,1.0,2.0,4251.0,4.0,29.0,16.0,35.0,False
22.0,14.0,5.0,1.0,8.0,4840.0,1.0,4.0,16.0,40.0,False
48.0,19.0,3.0,1.0,1.0,5350.0,1.0,6.0,17.0,40.0,False
56.0,16.0,5.0,1.0,5.0,4251.0,1.0,49.0,17.0,40.0,False
39.0,17.0,5.0,1.0,2.0,7120.0,6.0,55.0,16.0,40.0,False
27.0,20.0,5.0,1.0,3.0,4140.0,1.0,4.0,17.0,20.0,False
40.0,14.0,3.0,1.0,1.0,9645.0,4.0,6.0,16.0,40.0,False
19.0,19.0,5.0,1.0,1.0,4251.0,1.0,8.0,17.0,35.0,False
46.0,17.0,3.0,1.0,2.0,4020.0,4.0,47.0,16.0,40.0,False
20.0,18.0,5.0,2.0,6.0,3940.0,4.0,207.0,17.0,20.0,False
23.0,21.0,5.0,1.0,1.0,2205.0,1.0,4.0,17.0,20.0,False
23.0,12.0,5.0,1.0,8.0,6260.0,1.0,314.0,16.0,30.0,False
18.0,16.0,5.0,1.0,1.0,4720.0,1.0,4.0,17.0,20.0,False
20.0,19.0,5.0,2.0,1.0,5240.0,1.0,32.0,17.0,18.0,False
22.0,13.0,5.0,1.0,1.0,4130.0,1.0,4.0,16.0,38.0,False
18.0,16.0,5.0,1.0,1.0,5040.0,1.0,4.0,17.0,35.0,False
39.0,19.0,5.0,1.0,2.0,3740.0,4.0,4.0,16.0,30.0,False
38.0,20.0,1.0,2.0,8.0,4251.0,7.0,6.0,17.0,40.0,True
63.0,16.0,1.0,1.0,1.0,9620.0,1.0,303.0,17.0,30.0,False
39.0,19.0,3.0,1.0,2.0,4020.0,4.0,40.0,16.0,30.0,False
19.0,19.0,5.0,2.0,2.0,4600.0,1.0,4.0,17.0,30.0,False
18.0,16.0,5.0,1.0,1.0,4720.0,1.0,4.0,17.0,20.0,False
20.0,19.0,5.0,1.0,6.0,7100.0,5.0,6.0,17.0,40.0,False
38.0,19.0,1.0,1.0,1.0,9130.0,1.0,4.0,17.0,14.0,False
22.0,15.0,5.0,2.0,1.0,6410.0,4.0,4.0,16.0,40.0,False
42.0,19.0,2.0,2.0,1.0,5120.0,6.0,4.0,16.0,20.0,False
42.0,16.0,3.0,1.0,1.0,4020.0,4.0,303.0,16.0,40.0,False
21.0,19.0,5.0,2.0,1.0,5240.0,1.0,32.0,17.0,18.0,False
24.0,16.0,5.0,1.0,1.0,2350.0,4.0,4.0,16.0,30.0,False
18.0,9.0,5.0,1.0,1.0,6050.0,1.0,303.0,16.0,56.0,False
19.0,19.0,5.0,1.0,1.0,5240.0,1.0,6.0,17.0,35.0,False
28.0,16.0,5.0,1.0,1.0,4251.0,1.0,6.0,16.0,90.0,False
21.0,19.0,5.0,2.0,1.0,5320.0,1.0,4.0,17.0,20.0,False
19.0,19.0,5.0,2.0,2.0,9830.0,5.0,333.0,17.0,40.0,False
48.0,9.0,1.0,1.0,8.0,7200.0,6.0,303.0,16.0,40.0,False
22.0,14.0,5.0,1.0,9.0,6115.0,1.0,53.0,17.0,40.0,False
45.0,19.0,4.0,1.0,1.0,6355.0,6.0,303.0,17.0,40.0,False
20.0,14.0,5.0,1.0,1.0,6230.0,1.0,4.0,16.0,72.0,True
20.0,19.0,5.0,2.0,1.0,4640.0,4.0,4.0,17.0,30.0,False
25.0,18.0,3.0,1.0,8.0,9130.0,7.0,373.0,17.0,60.0,False
18.0,18.0,5.0,2.0,1.0,4720.0,1.0,8.0,17.0,25.0,False
40.0,19.0,5.0,1.0,1.0,9620.0,1.0,4.0,16.0,40.0,False
47.0,16.0,3.0,1.0,9.0,8990.0,5.0,15.0,16.0,40.0,False
57.0,19.0,5.0,1.0,1.0,7950.0,4.0,4.0,16.0,40.0,False
33.0,17.0,5.0,1.0,1.0,6230.0,4.0,4.0,16.0,40.0,False
41.0,18.0,5.0,1.0,3.0,3500.0,4.0,6.0,16.0,40.0,False
34.0,17.0,1.0,1.0,8.0,7640.0,4.0,4.0,16.0,40.0,False
48.0,12.0,5.0,1.0,1.0,7200.0,4.0,4.0,16.0,40.0,False
35.0,13.0,1.0,1.0,1.0,9620.0,1.0,4.0,17.0,40.0,False
20.0,16.0,5.0,1.0,1.0,4110.0,1.0,6.0,17.0,12.0,False
42.0,15.0,3.0,1.0,1.0,9620.0,1.0,303.0,16.0,40.0,False
19.0,20.0,5.0,2.0,1.0,4350.0,1.0,4.0,17.0,30.0,False
18.0,18.0,5.0,2.0,2.0,4760.0,1.0,4.0,17.0,20.0,False
22.0,16.0,5.0,1.0,1.0,4220.0,1.0,49.0,17.0,40.0,False
50.0,21.0,3.0,1.0,1.0,5000.0,1.0,51.0,17.0,35.0,False
29.0,17.0,5.0,1.0,1.0,4251.0,1.0,4.0,16.0,28.0,False
19.0,18.0,5.0,1.0,1.0,5240.0,1.0,1.0,17.0,25.0,False
24.0,19.0,5.0,2.0,1.0,3940.0,4.0,4.0,17.0,20.0,False
