AGEP,SCHL,MAR,SEX,RAC1P,OCCP,COW,POBP,RELP,WKHP,PINCP
20.0,16.0,5.0,1.0,1.0,3740.0,5.0,30.0,17.0,72.0,False
31.0,22.0,1.0,1.0,1.0,9130.0,1.0,25.0,17.0,40.0,False
62.0,21.0,3.0,1.0,1.0,7340.0,4.0,6.0,16.0,30.0,False
19.0,16.0,5.0,1.0,1.0,7640.0,1.0,56.0,17.0,40.0,False
33.0,16.0,4.0,1.0,1.0,7260.0,1.0,12.0,17.0,40.0,False
31.0,17.0,5.0,2.0,1.0,4055.0,1.0,56.0,16.0,40.0,False
18.0,16.0,5.0,2.0,1.0,2723.0,3.0,6.0,17.0,4.0,False
19.0,19.0,5.0,2.0,1.0,4760.0,1.0,16.0,17.0,15.0,False
20.0,19.0,5.0,1.0,1.0,6230.0,1.0,56.0,17.0,40.0,False
19.0,16.0,5.0,1.0,1.0,6050.0,1.0,56.0,17.0,40.0,False
60.0,20.0,3.0,1.0,3.0,6230.0,2.0,49.0,16.0,40.0,False
32.0,19.0,5.0,2.0,1.0,4720.0,1.0,8.0,17.0,40.0,False
32.0,19.0,5.0,2.0,1.0,4720.0,1.0,8.0,17.0,40.0,False
52.0,22.0,3.0,1.0,1.0,4020.0,4.0,8.0,16.0,32.0,False
19.0,18.0,5.0,1.0,1.0,9365.0,1.0,46.0,17.0,40.0,False
19.0,18.0,5.0,1.0,1.0,4350.0,6.0,8.0,17.0,30.0,False
19.0,16.0,5.0,1.0,8.0,4720.0,1.0,48.0,17.0,20.0,False
18.0,19.0,5.0,2.0,2.0,4740.0,1.0,8.0,17.0,10.0,False
35.0,18.0,3.0,1.0,3.0,8810.0,4.0,31.0,16.0,40.0,False
20.0,18.0,5.0,1.0,1.0,3870.0,5.0,27.0,17.0,72.0,False
33.0,18.0,3.0,1.0,1.0,8990.0,2.0,6.0,16.0,40.0,False
18.0,18.0,5.0,1.0,8.0,5600.0,1.0,6.0,17.0,40.0,False
20.0,19.0,5.0,1.0,1.0,9130.0,1.0,26.0,17.0,30.0,False
20.0,19.0,5.0,1.0,1.0,9645.0,1.0,30.0,17.0,30.0,False
25.0,17.0,5.0,1.0,1.0,4720.0,1.0,6.0,16.0,40.0,False
33.0,16.0,4.0,1.0,1.0,7260.0,1.0,12.0,17.0,40.0,False
18.0,16.0,5.0,1.0,1.0,6515.0,1.0,56.0,16.0,40.0,False
19.0,19.0,5.0,2.0,1.0,3603.0,1.0,46.0,17.0,45.0,False
47.0,14.0,4.0,1.0,1.0,410.0,1.0,19.0,16.0,30.0,False
19.0,19.0,5.0,2.0,1.0,5740.0,1.0,56.0,17.0,12.0,False
27.0,17.0,5.0,1.0,1.0,6260.0,6.0,56.0,17.0,40.0,False
20.0,18.0,5.0,1.0,1.0,3870.0,5.0,27.0,17.0,72.0,False
28.0,19.0,5.0,1.0,1.0,1360.0,5.0,6.0,17.0,50.0,False
18.0,18.0,5.0,1.0,1.0,6305.0,1.0,8.0,17.0,40.0,False
42.0,16.0,3.0,1.0,1.0,7000.0,1.0,17.0,17.0,40.0,False
18.0,18.0,5.0,1.0,9.0,4760.0,1.0,8.0,17.0,15.0,False
19.0,18.0,5.0,2.0,1.0,4760.0,1.0,139.0,17.0,40.0,False
18.0,18.0,5.0,2.0,1.0,3960.0,3.0,56.0,17.0,30.0,False
18.0,18.0,5.0,1.0,2.0,4220.0,2.0,9.0,17.0,12.0,False
22.0,16.0,5.0,1.0,1.0,4020.0,4.0,56.0,16.0,15.0,False
27.0,21.0,3.0,2.0,9.0,4965.0,1.0,12.0,17.0,40.0,True
19.0,18.0,5.0,1.0,1.0,2545.0,3.0,4.0,17.0,4.0,False
42.0,16.0,1.0,1.0,1.0,4020.0,1.0,303.0,17.0,40.0,False
34.0,16.0,5.0,1.0,3.0,3930.0,1.0,4.0,17.0,16.0,False
27.0,17.0,5.0,1.0,1.0,6260.0,6.0,56.0,17.0,40.0,False
29.0,19.0,5.0,2.0,9.0,310.0,1.0,6.0,17.0,80.0,False
52.0,22.0,3.0,1.0,1.0,4020.0,4.0,8.0,16.0,32.0,False
18.0,18.0,5.0,1.0,9.0,4760.0,1.0,8.0,17.0,15.0,False
23.0,18.0,5.0,1.0,1.0,6260.0,1.0,24.0,16.0,45.0,False
27.0,21.0,3.0,2.0,9.0,4965.0,1.0,12.0,17.0,40.0,True
19.0,19.0,5.0,2.0,1.0,3603.0,1.0,56.0,17.0,30.0,False
18.0,18.0,5.0,2.0,1.0,4350.0,4.0,56.0,17.0,17.0,False
19.0,19.0,5.0,2.0,1.0,5740.0,1.0,56.0,17.0,12.0,False
18.0,16.0,5.0,1.0,1.0,6050.0,1.0,8.0,17.0,20.0,False
29.0,19.0,5.0,1.0,1.0,6800.0,1.0,56.0,16.0,2.0,False
18.0,19.0,5.0,1.0,6.0,1970.0,4.0,56.0,17.0,20.0,False
18.0,19.0,5.0,2.0,5.0,4150.0,1.0,56.0,17.0,15.0,False
30.0,12.0,5.0,1.0,3.0,4210.0,1.0,56.0,16.0,25.0,False
18.0,16.0,5.0,1.0,1.0,6050.0,1.0,8.0,17.0,40.0,False
33.0,16.0,4.0,1.0,1.0,7260.0,1.0,12.0,17.0,40.0,False
19.0,18.0,5.0,2.0,1.0,3960.0,1.0,56.0,17.0,20.0,False
19.0,18.0,5.0,1.0,1.0,4720.0,1.0,30.0,17.0,15.0,False
19.0,18.0,5.0,1.0,1.0,6260.0,1.0,15.0,17.0,40.0,False
19.0,16.0,5.0,1.0,8.0,4720.0,1.0,48.0,17.0,20.0,False
22.0,19.0,5.0,1.0,1.0,1970.0,4.0,56.0,17.0,20.0,False
21.0,19.0,5.0,2.0,1.0,4622.0,4.0,38.0,17.0,10.0,False
54.0,17.0,3.0,1.0,1.0,4110.0,4.0,19.0,16.0,18.0,False
38.0,19.0,5.0,1.0,1.0,9130.0,1.0,26.0,16.0,40.0,False
18.0,16.0,5.0,2.0,1.0,4150.0,1.0,8.0,17.0,15.0,False
20.0,18.0,5.0,1.0,1.0,3870.0,5.0,27.0,17.0,72.0,False
20.0,19.0,5.0,1.0,1.0,4020.0,1.0,56.0,17.0,20.0,False
18.0,18.0,5.0,2.0,1.0,5400.0,1.0,56.0,17.0,40.0,False
29.0,19.0,5.0,2.0,9.0,310.0,1.0,6.0,17.0,80.0,False
18.0,16.0,5.0,1.0,1.0,6050.0,6.0,8.0,17.0,40.0,False
19.0,18.0,5.0,1.0,1.0,9365.0,1.0,46.0,17.0,40.0,False
18.0,18.0,5.0,2.0,1.0,4720.0,1.0,8.0,17.0,40.0,False
19.0,18.0,5.0,1.0,1.0,4230.0,1.0,56.0,17.0,34.0,False
25.0,16.0,5.0,1.0,8.0,9610.0,1.0,56.0,16.0,40.0,False
44.0,16.0,1.0,1.0,1.0,9142.0,2.0,6.0,16.0,45.0,False
27.0,17.0,5.0,1.0,1.0,6260.0,6.0,56.0,17.0,40.0,False
19.0,18.0,5.0,2.0,1.0,3960.0,1.0,56.0,17.0,20.0,False
22.0,16.0,5.0,1.0,1.0,6355.0,1.0,35.0,16.0,40.0,False
42.0,16.0,1.0,1.0,1.0,4020.0,1.0,303.0,17.0,40.0,False
19.0,18.0,5.0,1.0,1.0,4350.0,6.0,8.0,17.0,30.0,False
56.0,21.0,3.0,2.0,1.0,5120.0,1.0,24.0,17.0,45.0,False
48.0,16.0,2.0,1.0,1.0,9620.0,2.0,27.0,16.0,30.0,False
29.0,19.0,5.0,1.0,1.0,4700.0,1.0,4.0,16.0,50.0,False
22.0,19.0,5.0,2.0,1.0,4110.0,1.0,202.0,17.0,19.0,False
18.0,16.0,5.0,2.0,1.0,4030.0,1.0,56.0,17.0,25.0,False
18.0,18.0,5.0,2.0,1.0,205.0,6.0,37.0,17.0,30.0,False
29.0,19.0,5.0,1.0,1.0,6800.0,1.0,56.0,16.0,2.0,False
19.0,18.0,5.0,1.0,1.0,6260.0,1.0,15.0,17.0,40.0,False
21.0,19.0,5.0,1.0,1.0,1970.0,4.0,29.0,17.0,20.0,False
33.0,21.0,3.0,1.0,1.0,3421.0,1.0,26.0,17.0,20.0,False
20.0,18.0,5.0,1.0,1.0,8140.0,6.0,30.0,17.0,30.0,False
28.0,19.0,5.0,1.0,1.0,1360.0,5.0,6.0,17.0,50.0,False
20.0,16.0,5.0,1.0,1.0,6730.0,4.0,8.0,17.0,40.0,False
20.0,16.0,5.0,1.0,1.0,9610.0,1.0,46.0,17.0,20.0,False
19.0,18.0,5.0,1.0,1.0,3870.0,5.0,30.0,17.0,48.0,False
18.0,18.0,5.0,1.0,1.0,6305.0,1.0,8.0,17.0,40.0,False
24.0,16.0,5.0,1.0,1.0,6230.0,1.0,48.0,16.0,80.0,False
19.0,18.0,5.0,1.0,1.0,5600.0,1.0,17.0,17.0,40.0,False
26.0,18.0,5.0,1.0,1.0,4251.0,1.0,56.0,16.0,40.0,False
27.0,21.0,3.0,2.0,9.0,4965.0,1.0,12.0,17.0,40.0,True
19.0,18.0,5.0,2.0,1.0,4600.0,6.0,31.0,17.0,10.0,False
19.0,18.0,5.0,2.0,1.0,4600.0,6.0,31.0,17.0,10.0,False
19.0,19.0,5.0,1.0,1.0,4640.0,4.0,56.0,17.0,8.0,False
42.0,16.0,3.0,1.0,1.0,7000.0,1.0,17.0,17.0,40.0,False
18.0,16.0,5.0,1.0,1.0,6050.0,1.0,8.0,17.0,40.0,False
19.0,19.0,5.0,2.0,1.0,2350.0,1.0,31.0,17.0,8.0,False
39.0,19.0,1.0,2.0,1.0,5120.0,6.0,17.0,0.0,40.0,False
35.0,22.0,1.0,2.0,1.0,440.0,6.0,56.0,15.0,50.0,False
35.0,19.0,3.0,2.0,1.0,5740.0,1.0,4.0,0.0,28.0,False
49.0,22.0,1.0,2.0,1.0,2830.0,6.0,110.0,0.0,40.0,False
47.0,21.0,1.0,1.0,1.0,2320.0,3.0,9.0,1.0,50.0,False
32.0,19.0,5.0,1.0,1.0,4030.0,1.0,23.0,0.0,30.0,False
57.0,19.0,1.0,1.0,1.0,7540.0,6.0,36.0,0.0,40.0,False
53.0,16.0,1.0,2.0,1.0,4700.0,1.0,37.0,1.0,50.0,False
48.0,18.0,3.0,1.0,1.0,4760.0,1.0,56.0,2.0,48.0,True
65.0,20.0,2.0,1.0,1.0,1310.0,1.0,20.0,0.0,36.0,True
36.0,18.0,1.0,1.0,1.0,9130.0,1.0,56.0,0.0,50.0,True
31.0,20.0,1.0,2.0,1.0,4510.0,6.0,56.0,1.0,12.0,False
56.0,16.0,1.0,2.0,1.0,5630.0,1.0,30.0,0.0,40.0,False
63.0,20.0,1.0,1.0,1.0,6950.0,1.0,56.0,1.0,40.0,False
36.0,19.0,5.0,2.0,3.0,4622.0,2.0,56.0,0.0,34.0,False
42.0,16.0,3.0,1.0,3.0,3605.0,3.0,16.0,13.0,40.0,False
26.0,18.0,5.0,1.0,1.0,6260.0,1.0,53.0,0.0,50.0,False
30.0,18.0,5.0,2.0,1.0,5310.0,1.0,30.0,0.0,40.0,False
40.0,16.0,1.0,2.0,3.0,5740.0,1.0,46.0,0.0,40.0,False
39.0,14.0,1.0,1.0,1.0,9130.0,1.0,56.0,1.0,50.0,False
75.0,22.0,2.0,2.0,1.0,4760.0,1.0,31.0,0.0,12.0,False
36.0,20.0,1.0,1.0,1.0,4760.0,1.0,46.0,0.0,40.0,True
32.0,21.0,1.0,2.0,1.0,3255.0,3.0,46.0,1.0,36.0,True
63.0,22.0,1.0,1.0,1.0,5550.0,5.0,24.0,0.0,44.0,False
75.0,17.0,2.0,2.0,1.0,4920.0,6.0,56.0,0.0,50.0,True
69.0,13.0,3.0,2.0,1.0,4510.0,6.0,56.0,0.0,40.0,True
38.0,19.0,5.0,1.0,1.0,1551.0,1.0,39.0,0.0,40.0,False
38.0,21.0,5.0,2.0,1.0,5310.0,5.0,18.0,0.0,7.0,False
43.0,16.0,3.0,1.0,1.0,6200.0,1.0,8.0,12.0,50.0,True
32.0,11.0,3.0,2.0,1.0,9645.0,1.0,48.0,0.0,20.0,False
72.0,20.0,3.0,2.0,1.0,5120.0,2.0,38.0,0.0,4.0,False
34.0,22.0,1.0,2.0,1.0,4940.0,1.0,362.0,0.0,12.0,False
36.0,19.0,1.0,1.0,1.0,440.0,1.0,26.0,1.0,50.0,True
66.0,22.0,1.0,1.0,1.0,1530.0,4.0,39.0,0.0,15.0,True
64.0,21.0,1.0,2.0,1.0,4340.0,1.0,25.0,1.0,8.0,False
48.0,21.0,1.0,2.0,1.0,5000.0,3.0,56.0,0.0,40.0,True
48.0,22.0,1.0,1.0,1.0,1360.0,2.0,4.0,1.0,40.0,True
57.0,19.0,1.0,1.0,1.0,6355.0,1.0,56.0,0.0,40.0,True
55.0,16.0,1.0,2.0,1.0,4830.0,7.0,46.0,1.0,40.0,False
