AGEP,SCHL,MAR,DIS,ESP,CIT,MIG,SEX,RAC1P,PUMA,ST,OCCP,JWTR,POWPUMA,COW,WKHP,PINCP,ESR,JWMNP
19.0,16.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,109.0,4.0,4150.0,11.0,100.0,1.0,20.0,2500.0,1.0,False
30.0,19.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,900.0,4.0,7840.0,0.0,0.0,4.0,40.0,30000.0,6.0,False
45.0,19.0,4.0,2.0,0.0,5.0,2.0,1.0,1.0,800.0,4.0,6355.0,1.0,1.0,6.0,40.0,12000.0,1.0,False
21.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,8.0,202.0,4.0,8140.0,1.0,200.0,4.0,40.0,98000.0,1.0,False
20.0,16.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,122.0,4.0,2016.0,10.0,100.0,4.0,10.0,5000.0,1.0,False
22.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,2.0,208.0,4.0,3930.0,0.0,0.0,1.0,40.0,8000.0,6.0,False
57.0,17.0,5.0,2.0,0.0,1.0,2.0,1.0,1.0,113.0,4.0,4251.0,9.0,100.0,1.0,40.0,33000.0,1.0,False
43.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,600.0,4.0,9620.0,0.0,0.0,1.0,40.0,10000.0,6.0,False
29.0,20.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,600.0,4.0,4220.0,10.0,600.0,1.0,31.0,10400.0,1.0,False
19.0,18.0,5.0,2.0,0.0,5.0,2.0,1.0,1.0,207.0,4.0,4140.0,0.0,0.0,1.0,22.0,6000.0,6.0,False
19.0,19.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,300.0,4.0,4435.0,0.0,0.0,1.0,20.0,3000.0,6.0,False
19.0,16.0,5.0,2.0,0.0,1.0,3.0,2.0,6.0,207.0,4.0,4150.0,1.0,200.0,3.0,8.0,8000.0,1.0,False
24.0,20.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,900.0,4.0,9830.0,11.0,900.0,5.0,80.0,25700.0,4.0,False
65.0,21.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,203.0,4.0,2600.0,0.0,0.0,6.0,4.0,20600.0,6.0,False
48.0,17.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,800.0,4.0,9130.0,0.0,0.0,1.0,40.0,5500.0,6.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,400.0,4.0,5740.0,1.0,500.0,1.0,5.0,5000.0,1.0,False
29.0,16.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,124.0,4.0,9620.0,0.0,0.0,1.0,40.0,21000.0,6.0,False
57.0,18.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,205.0,4.0,4220.0,0.0,0.0,5.0,40.0,700.0,6.0,False
55.0,13.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,103.0,4.0,9620.0,0.0,0.0,1.0,40.0,8000.0,3.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,207.0,4.0,4150.0,0.0,0.0,3.0,20.0,700.0,6.0,False
18.0,16.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,207.0,4.0,4720.0,0.0,0.0,1.0,20.0,1000.0,3.0,False
36.0,13.0,5.0,2.0,0.0,1.0,3.0,1.0,3.0,119.0,4.0,6355.0,0.0,0.0,1.0,40.0,5000.0,6.0,False
19.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,209.0,4.0,9830.0,1.0,200.0,5.0,55.0,17600.0,4.0,False
43.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,600.0,4.0,9620.0,0.0,0.0,1.0,40.0,10000.0,6.0,False
20.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,500.0,4.0,5240.0,0.0,0.0,1.0,35.0,2300.0,6.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,400.0,4.0,4420.0,10.0,400.0,1.0,20.0,2000.0,1.0,False
41.0,17.0,4.0,2.0,0.0,1.0,1.0,1.0,9.0,400.0,4.0,6260.0,12.0,400.0,1.0,43.0,31000.0,1.0,False
36.0,14.0,5.0,2.0,0.0,1.0,3.0,1.0,2.0,126.0,4.0,6355.0,1.0,100.0,1.0,40.0,21800.0,1.0,False
24.0,21.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,900.0,4.0,9830.0,10.0,900.0,5.0,65.0,24600.0,4.0,False
18.0,18.0,5.0,1.0,0.0,1.0,3.0,2.0,2.0,207.0,4.0,4760.0,0.0,0.0,1.0,20.0,6000.0,6.0,False
20.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,6.0,132.0,4.0,7100.0,1.0,100.0,5.0,40.0,20000.0,4.0,False
22.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,700.0,4.0,9830.0,1.0,700.0,5.0,55.0,25000.0,4.0,False
21.0,16.0,5.0,2.0,0.0,4.0,1.0,1.0,1.0,500.0,4.0,2350.0,10.0,500.0,1.0,2.0,570.0,1.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,3.0,400.0,4.0,5860.0,1.0,400.0,1.0,20.0,2000.0,1.0,False
18.0,16.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,122.0,4.0,4350.0,0.0,0.0,1.0,2.0,410.0,6.0,False
27.0,20.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,209.0,4.0,7140.0,1.0,200.0,5.0,40.0,21000.0,4.0,False
20.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,126.0,4.0,4110.0,10.0,100.0,1.0,12.0,1400.0,1.0,False
19.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,400.0,4.0,4020.0,7.0,400.0,1.0,35.0,2500.0,1.0,False
19.0,16.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,400.0,4.0,5400.0,0.0,0.0,1.0,24.0,3000.0,6.0,False
25.0,9.0,5.0,2.0,0.0,5.0,2.0,1.0,1.0,805.0,4.0,4020.0,0.0,0.0,1.0,84.0,8400.0,6.0,False
63.0,16.0,1.0,2.0,0.0,5.0,2.0,1.0,1.0,400.0,4.0,9620.0,1.0,1.0,1.0,30.0,26000.0,1.0,False
40.0,15.0,5.0,2.0,0.0,1.0,3.0,1.0,2.0,900.0,4.0,4251.0,0.0,0.0,4.0,35.0,14700.0,6.0,False
22.0,14.0,5.0,2.0,0.0,1.0,3.0,1.0,8.0,208.0,4.0,4840.0,0.0,0.0,1.0,40.0,3000.0,6.0,False
48.0,19.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,400.0,4.0,5350.0,0.0,0.0,1.0,40.0,16100.0,3.0,False
56.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,5.0,112.0,4.0,4251.0,1.0,100.0,1.0,40.0,21800.0,1.0,True
39.0,17.0,5.0,2.0,0.0,1.0,3.0,1.0,2.0,208.0,4.0,7120.0,0.0,0.0,6.0,40.0,36000.0,6.0,False
27.0,20.0,5.0,2.0,0.0,1.0,3.0,1.0,3.0,122.0,4.0,4140.0,10.0,100.0,1.0,20.0,2000.0,1.0,True
40.0,14.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,4.0,9645.0,0.0,0.0,4.0,40.0,840.0,6.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,400.0,4.0,4251.0,0.0,0.0,1.0,35.0,5000.0,6.0,False
46.0,17.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,900.0,4.0,4020.0,0.0,0.0,4.0,40.0,450.0,6.0,False
20.0,18.0,5.0,2.0,0.0,5.0,2.0,2.0,6.0,109.0,4.0,3940.0,0.0,0.0,4.0,20.0,1900.0,6.0,False
23.0,21.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,207.0,4.0,2205.0,10.0,200.0,1.0,20.0,15020.0,1.0,False
23.0,12.0,5.0,2.0,0.0,5.0,2.0,1.0,8.0,805.0,4.0,6260.0,0.0,0.0,1.0,30.0,200.0,6.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,400.0,4.0,4720.0,0.0,0.0,1.0,20.0,1000.0,3.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,109.0,4.0,5240.0,10.0,100.0,1.0,18.0,8500.0,1.0,False
22.0,13.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0,202.0,4.0,4130.0,0.0,0.0,1.0,38.0,13300.0,6.0,False
18.0,16.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,400.0,4.0,5040.0,1.0,400.0,1.0,35.0,20000.0,1.0,False
39.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,900.0,4.0,3740.0,0.0,0.0,4.0,30.0,520.0,6.0,False
