AGEP,SCHL,MAR,DIS,ESP,CIT,MIG,SEX,RAC1P,PUMA,ST,OCCP,JWTR,POWPUMA,COW,WKHP,PINCP,ESR,JWMNP
36.0,19.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,57002.0,49.0,6200.0,0.0,0.0,1.0,50.0,50000.0,6.0,False
21.0,18.0,5.0,2.0,0.0,1.0,2.0,2.0,1.0,49003.0,49.0,5860.0,0.0,0.0,1.0,12.0,600.0,3.0,False
20.0,18.0,5.0,2.0,0.0,1.0,2.0,1.0,1.0,49003.0,49.0,4110.0,1.0,49000.0,1.0,20.0,3000.0,1.0,False
21.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,49003.0,49.0,3421.0,1.0,49000.0,1.0,20.0,5500.0,1.0,False
21.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,11001.0,49.0,9825.0,10.0,11000.0,5.0,40.0,13500.0,4.0,False
32.0,17.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,13001.0,49.0,4010.0,0.0,0.0,1.0,40.0,12000.0,6.0,False
20.0,18.0,5.0,2.0,0.0,1.0,2.0,1.0,1.0,49003.0,49.0,4220.0,10.0,49000.0,2.0,18.0,1500.0,1.0,False
23.0,20.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,35002.0,49.0,1970.0,1.0,35000.0,1.0,36.0,9000.0,1.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,11001.0,49.0,9825.0,10.0,11000.0,5.0,40.0,15400.0,4.0,False
51.0,9.0,5.0,1.0,0.0,1.0,3.0,2.0,1.0,3001.0,49.0,8710.0,1.0,3001.0,1.0,20.0,28200.0,1.0,True
21.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,49003.0,49.0,4840.0,0.0,0.0,1.0,30.0,40000.0,2.0,False
23.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,9.0,49003.0,49.0,4055.0,10.0,49000.0,1.0,24.0,3500.0,1.0,False
26.0,19.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,35002.0,49.0,2300.0,1.0,35000.0,1.0,30.0,20000.0,1.0,False
20.0,18.0,5.0,2.0,0.0,1.0,1.0,2.0,6.0,35002.0,49.0,3603.0,1.0,35000.0,1.0,30.0,21000.0,1.0,True
28.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,49001.0,49.0,6260.0,0.0,0.0,1.0,40.0,16000.0,6.0,False
22.0,19.0,1.0,2.0,0.0,1.0,3.0,1.0,7.0,35002.0,49.0,4220.0,0.0,0.0,1.0,40.0,18000.0,3.0,False
25.0,21.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,35002.0,49.0,2001.0,1.0,35000.0,1.0,40.0,10000.0,1.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,5001.0,49.0,3960.0,0.0,0.0,1.0,20.0,2000.0,6.0,False
23.0,20.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,49003.0,49.0,4700.0,1.0,49000.0,1.0,18.0,8000.0,1.0,False
21.0,11.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0,57001.0,49.0,6200.0,0.0,0.0,1.0,60.0,40000.0,6.0,False
25.0,21.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,49002.0,49.0,650.0,1.0,49000.0,1.0,40.0,53000.0,1.0,False
19.0,18.0,5.0,2.0,0.0,4.0,3.0,2.0,6.0,21001.0,49.0,3603.0,1.0,11000.0,1.0,15.0,4000.0,1.0,False
19.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,2.0,35002.0,49.0,4720.0,0.0,0.0,1.0,18.0,500.0,6.0,False
63.0,16.0,1.0,2.0,0.0,5.0,2.0,1.0,1.0,3001.0,49.0,9620.0,1.0,1.0,1.0,30.0,26000.0,1.0,False
65.0,16.0,1.0,2.0,0.0,5.0,1.0,1.0,6.0,35002.0,49.0,4020.0,10.0,35000.0,1.0,35.0,1600.0,1.0,True
21.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,49003.0,49.0,3421.0,1.0,49000.0,1.0,20.0,5500.0,1.0,False
62.0,16.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,35003.0,49.0,8710.0,1.0,35000.0,1.0,20.0,36400.0,1.0,True
21.0,19.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,49003.0,49.0,1108.0,1.0,49000.0,4.0,25.0,8000.0,1.0,False
67.0,22.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,35003.0,49.0,2040.0,10.0,35000.0,2.0,50.0,39000.0,1.0,False
21.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,49002.0,49.0,4920.0,10.0,49000.0,1.0,20.0,5200.0,1.0,False
27.0,17.0,5.0,1.0,0.0,3.0,1.0,1.0,1.0,49002.0,49.0,8740.0,0.0,0.0,2.0,20.0,6740.0,6.0,False
38.0,16.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,57002.0,49.0,9620.0,0.0,0.0,1.0,45.0,4000.0,6.0,False
19.0,14.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,13001.0,49.0,4010.0,0.0,0.0,1.0,40.0,5000.0,6.0,False
26.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,6.0,49003.0,49.0,2600.0,10.0,49000.0,1.0,20.0,11000.0,1.0,False
25.0,21.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,49003.0,49.0,5240.0,1.0,49000.0,1.0,40.0,40000.0,1.0,False
65.0,18.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,57001.0,49.0,7750.0,1.0,57000.0,4.0,30.0,14100.0,1.0,True
21.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,49003.0,49.0,2205.0,10.0,49000.0,2.0,15.0,8000.0,1.0,False
18.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,5001.0,49.0,5360.0,2.0,5001.0,4.0,6.0,2500.0,1.0,False
27.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,49003.0,49.0,6800.0,1.0,49000.0,1.0,18.0,14000.0,1.0,False
24.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,49003.0,49.0,6305.0,1.0,49000.0,1.0,50.0,24000.0,1.0,False
62.0,16.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,35002.0,49.0,8710.0,1.0,35000.0,1.0,20.0,36400.0,1.0,True
25.0,14.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,3001.0,49.0,8710.0,0.0,0.0,1.0,46.0,12000.0,6.0,False
32.0,21.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,11001.0,49.0,6835.0,1.0,11000.0,5.0,40.0,34800.0,4.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,49002.0,49.0,8255.0,1.0,49000.0,1.0,15.0,2000.0,1.0,False
19.0,19.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,35002.0,49.0,9620.0,1.0,35000.0,1.0,25.0,9000.0,1.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,35002.0,49.0,4020.0,2.0,35000.0,1.0,20.0,1500.0,1.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,9.0,5001.0,49.0,7905.0,0.0,0.0,1.0,50.0,5000.0,6.0,False
45.0,19.0,4.0,2.0,0.0,5.0,2.0,1.0,1.0,57002.0,49.0,6355.0,1.0,1.0,6.0,40.0,12000.0,1.0,False
30.0,21.0,5.0,2.0,0.0,5.0,1.0,1.0,6.0,35002.0,49.0,2205.0,1.0,35000.0,4.0,40.0,29000.0,1.0,False
22.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,49003.0,49.0,5330.0,1.0,49000.0,1.0,25.0,20000.0,1.0,False
25.0,21.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,35002.0,49.0,2545.0,10.0,35000.0,4.0,20.0,20000.0,1.0,False
30.0,21.0,5.0,2.0,0.0,5.0,1.0,2.0,1.0,35002.0,49.0,2002.0,10.0,35000.0,1.0,20.0,4500.0,1.0,False
43.0,21.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,35009.0,49.0,4840.0,0.0,0.0,1.0,45.0,8000.0,6.0,False
22.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,49002.0,49.0,4435.0,0.0,0.0,1.0,33.0,3500.0,6.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,49003.0,49.0,4130.0,0.0,0.0,1.0,35.0,4000.0,6.0,False
63.0,1.0,5.0,1.0,0.0,1.0,1.0,2.0,1.0,35004.0,49.0,8710.0,1.0,35000.0,1.0,20.0,16000.0,1.0,True
26.0,17.0,4.0,2.0,0.0,1.0,3.0,2.0,1.0,49001.0,49.0,4110.0,0.0,0.0,1.0,30.0,500.0,6.0,False
62.0,16.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,5001.0,49.0,8710.0,1.0,5001.0,1.0,20.0,36400.0,1.0,True
21.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,49003.0,49.0,2440.0,10.0,49000.0,1.0,15.0,3500.0,1.0,False
18.0,20.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,35002.0,49.0,4220.0,1.0,57000.0,1.0,10.0,400.0,1.0,False
60.0,19.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0,35003.0,49.0,5240.0,0.0,0.0,1.0,40.0,27000.0,6.0,False
21.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,13001.0,49.0,6355.0,10.0,13001.0,2.0,20.0,700.0,1.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,49003.0,49.0,4720.0,10.0,49000.0,1.0,15.0,1700.0,1.0,True
21.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,49002.0,49.0,4840.0,0.0,0.0,1.0,25.0,1000.0,6.0,False
18.0,18.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,49003.0,49.0,5740.0,10.0,49000.0,1.0,27.0,5000.0,1.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,5001.0,49.0,6240.0,0.0,0.0,5.0,30.0,5000.0,6.0,False
43.0,21.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,35009.0,49.0,4840.0,0.0,0.0,1.0,45.0,8000.0,6.0,False
31.0,22.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,21001.0,49.0,9130.0,1.0,21001.0,1.0,40.0,18000.0,1.0,False
42.0,19.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,35001.0,49.0,5610.0,0.0,0.0,1.0,40.0,10000.0,6.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,49003.0,49.0,4110.0,1.0,49000.0,1.0,35.0,7000.0,1.0,False
32.0,22.0,1.0,2.0,0.0,5.0,1.0,2.0,6.0,35002.0,49.0,1530.0,1.0,600.0,4.0,20.0,20000.0,1.0,False
17.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,35002.0,49.0,4900.0,1.0,35000.0,1.0,15.0,9500.0,1.0,False
20.0,16.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,11001.0,49.0,9830.0,10.0,11000.0,5.0,50.0,20000.0,4.0,False
19.0,19.0,5.0,2.0,0.0,5.0,1.0,1.0,1.0,49003.0,49.0,9620.0,1.0,49000.0,1.0,25.0,5000.0,1.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,49003.0,49.0,4140.0,10.0,49000.0,1.0,10.0,800.0,1.0,False
19.0,19.0,5.0,1.0,0.0,1.0,1.0,2.0,1.0,35002.0,49.0,4435.0,10.0,35000.0,1.0,22.0,5000.0,1.0,False
23.0,13.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,3001.0,49.0,9640.0,0.0,0.0,1.0,10.0,750.0,6.0,False
36.0,18.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,49001.0,49.0,6230.0,0.0,0.0,1.0,40.0,75000.0,6.0,False
21.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,8.0,13001.0,49.0,8140.0,1.0,13001.0,4.0,40.0,98000.0,1.0,False
