AGEP,SCHL,MAR,DIS,ESP,CIT,MIG,SEX,RAC1P,PUMA,ST,OCCP,JWTR,POWPUMA,COW,WKHP,PINCP,ESR,JWMNP
20.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,56.0,3740.0,1.0,300.0,5.0,72.0,19000.0,4.0,False
31.0,22.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,100.0,56.0,9130.0,1.0,100.0,1.0,40.0,18000.0,1.0,False
62.0,21.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,500.0,56.0,7340.0,0.0,0.0,4.0,30.0,14300.0,6.0,False
19.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,56.0,7640.0,0.0,0.0,1.0,40.0,8000.0,6.0,False
33.0,16.0,4.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,56.0,7260.0,0.0,0.0,1.0,40.0,6400.0,6.0,False
31.0,17.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,200.0,56.0,4055.0,0.0,0.0,1.0,40.0,10000.0,6.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,100.0,56.0,2723.0,0.0,0.0,3.0,4.0,190.0,6.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,300.0,56.0,4760.0,0.0,0.0,1.0,15.0,2000.0,6.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,100.0,56.0,6230.0,1.0,100.0,1.0,40.0,6000.0,1.0,True
19.0,16.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0,100.0,56.0,6050.0,1.0,100.0,1.0,40.0,4200.0,1.0,True
60.0,20.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,400.0,56.0,6230.0,0.0,0.0,2.0,40.0,15600.0,6.0,False
32.0,19.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,100.0,56.0,4720.0,10.0,100.0,1.0,40.0,17510.0,1.0,False
32.0,19.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,100.0,56.0,4720.0,10.0,100.0,1.0,40.0,17510.0,1.0,False
52.0,22.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,200.0,56.0,4020.0,0.0,0.0,4.0,32.0,3000.0,6.0,False
19.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,56.0,9365.0,0.0,0.0,1.0,40.0,4000.0,6.0,False
19.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,400.0,56.0,4350.0,1.0,400.0,6.0,30.0,3700.0,1.0,False
19.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,8.0,300.0,56.0,4720.0,0.0,0.0,1.0,20.0,5000.0,6.0,False
18.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,2.0,400.0,56.0,4740.0,0.0,0.0,1.0,10.0,700.0,6.0,False
35.0,18.0,3.0,2.0,0.0,1.0,3.0,1.0,3.0,200.0,56.0,8810.0,0.0,0.0,4.0,40.0,1600.0,6.0,False
20.0,18.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,300.0,56.0,3870.0,1.0,300.0,5.0,72.0,19000.0,4.0,False
33.0,18.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,400.0,56.0,8990.0,0.0,0.0,2.0,40.0,42000.0,6.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,8.0,300.0,56.0,5600.0,0.0,0.0,1.0,40.0,8000.0,6.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,500.0,56.0,9130.0,1.0,500.0,1.0,30.0,42000.0,1.0,False
20.0,19.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,500.0,56.0,9645.0,0.0,0.0,1.0,30.0,3000.0,3.0,False
25.0,17.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,56.0,4720.0,0.0,0.0,1.0,40.0,3000.0,6.0,False
33.0,16.0,4.0,2.0,0.0,1.0,3.0,1.0,1.0,500.0,56.0,7260.0,0.0,0.0,1.0,40.0,6400.0,6.0,False
18.0,16.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,500.0,56.0,6515.0,0.0,0.0,1.0,40.0,1000.0,6.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,300.0,56.0,3603.0,0.0,0.0,1.0,45.0,8560.0,6.0,False
47.0,14.0,4.0,2.0,0.0,1.0,3.0,1.0,1.0,400.0,56.0,410.0,0.0,0.0,1.0,30.0,3900.0,6.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,300.0,56.0,5740.0,11.0,300.0,1.0,12.0,4800.0,1.0,False
27.0,17.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,56.0,6260.0,0.0,0.0,6.0,40.0,12000.0,6.0,False
20.0,18.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,300.0,56.0,3870.0,1.0,300.0,5.0,72.0,19000.0,4.0,False
28.0,19.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,300.0,56.0,1360.0,1.0,300.0,5.0,50.0,14000.0,4.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,56.0,6305.0,0.0,0.0,1.0,40.0,15000.0,6.0,False
42.0,16.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,100.0,56.0,7000.0,10.0,100.0,1.0,40.0,42000.0,1.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,9.0,300.0,56.0,4760.0,0.0,0.0,1.0,15.0,800.0,3.0,False
19.0,18.0,5.0,2.0,0.0,5.0,2.0,2.0,1.0,300.0,56.0,4760.0,1.0,300.0,1.0,40.0,4500.0,1.0,True
18.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,300.0,56.0,3960.0,0.0,0.0,3.0,30.0,6000.0,6.0,False
18.0,18.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,300.0,56.0,4220.0,1.0,300.0,2.0,12.0,10250.0,1.0,False
22.0,16.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,200.0,56.0,4020.0,0.0,0.0,4.0,15.0,840.0,6.0,False
27.0,21.0,3.0,2.0,0.0,1.0,3.0,2.0,9.0,500.0,56.0,4965.0,1.0,500.0,1.0,40.0,140000.0,1.0,False
19.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,300.0,56.0,2545.0,1.0,300.0,3.0,4.0,5000.0,1.0,False
42.0,16.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,400.0,56.0,4020.0,1.0,400.0,1.0,40.0,37100.0,1.0,False
34.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,3.0,300.0,56.0,3930.0,1.0,300.0,1.0,16.0,7000.0,1.0,True
27.0,17.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,400.0,56.0,6260.0,0.0,0.0,6.0,40.0,12000.0,6.0,False
29.0,19.0,5.0,2.0,0.0,1.0,1.0,2.0,9.0,200.0,56.0,310.0,0.0,0.0,1.0,80.0,42000.0,2.0,False
52.0,22.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,200.0,56.0,4020.0,0.0,0.0,4.0,32.0,3000.0,6.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,9.0,300.0,56.0,4760.0,0.0,0.0,1.0,15.0,800.0,3.0,False
23.0,18.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,200.0,56.0,6260.0,0.0,0.0,1.0,45.0,25000.0,6.0,False
27.0,21.0,3.0,2.0,0.0,1.0,3.0,2.0,9.0,500.0,56.0,4965.0,1.0,500.0,1.0,40.0,140000.0,1.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,100.0,56.0,3603.0,0.0,0.0,1.0,30.0,5000.0,6.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,500.0,56.0,4350.0,1.0,500.0,4.0,17.0,11600.0,1.0,False
